DEPTH,CALI,CGR,DRHO,DT,GR,LLD,LLS,MSFL,NPHI,PEF,RHOB
3525.9264,209.6548,14.8296,22.9766,225.3605,14.9532,2.0009,2.2817,1820.579,0.170505,4.1298,2354.4316
3526.0788,210.5087,16.8356,28.1768,211.3585,22.6011,1.9721,2.2352,1820.579,0.179847,5.4854,2355.8342
3526.2312,210.7406,24.2302,31.052,217.2139,42.8199,1.9935,2.2654,1820.579,0.210119,6.6923,2385.2166
3526.3836,211.8062,51.4399,36.9518,231.9735,68.505,2.0596,2.3522,1820.579,0.267329,7.0667,2426.8376
3526.536,212.1297,76.7464,39.8603,239.3209,87.8405,2.1594,2.4698,1820.579,0.331057,6.3261,2464.6062
3526.6884,212.1297,85.9069,38.9106,253.1518,94.8967,2.2384,2.5958,1820.579,0.368733,5.1955,2500.7388
3526.8408,211.5828,87.6689,53.7535,263.2991,94.4498,2.2674,2.6633,1820.579,0.36674,4.5806,2542.3445
3526.9932,219.5539,86.0937,57.0149,269.3571,91.4852,2.2663,2.6061,1820.579,0.331171,4.5205,2581.9097
3527.1456,225.3611,82.4915,71.872,269.5329,85.1655,2.2616,2.4702,1820.579,0.290246,5.1917,2604.1284
3527.298,217.4047,78.4111,99.4044,264.4493,77.3194,2.2752,2.3617,1820.579,0.269038,6.6098,2607.3181
3527.4504,214.6197,74.2486,121.1922,258.7096,68.955,2.3222,2.332,1820.579,0.267565,8.5702,2593.3291
3527.6028,220.8886,72.1414,115.7326,251.7546,60.4487,2.3904,2.3765,1820.579,0.270252,11.0428,2568.4587
3527.7552,222.5071,68.0894,108.4384,248.2204,55.3847,2.4641,2.484,1820.579,0.271997,14.6722,2548.8718
3527.9076,216.7553,61.3599,115.633,247.6754,58.0058,2.5688,2.6469,1820.579,0.281406,17.623,2539.8003
3528.06,210.5946,67.2226,104.1042,244.5092,67.8339,2.7417,2.864,1820.579,0.30006,15.5856,2531.9517
3528.2124,210.5392,83.925,81.5447,244.7406,76.633,3.0018,3.1286,1820.579,0.312474,10.15,2535.0952
3528.3648,211.734,83.5812,77.5132,245.7813,75.9518,3.3651,3.4523,1820.579,0.30087,7.7708,2569.4863
3528.5172,214.2071,66.2841,104.7152,245.0788,67.1387,3.7936,3.8918,1820.579,0.266325,8.659,2610.9036
3528.6696,215.4584,51.1385,111.4347,243.7384,57.5485,4.2113,4.3947,1820.579,0.235711,11.1216,2617.9119
3528.822,214.511,45.7145,102.5907,238.7357,55.2707,4.5868,4.8308,1820.579,0.228073,13.9458,2605.9358
3528.9744,213.9771,53.0856,95.8237,240.0816,58.5229,4.973,5.1828,1820.579,0.244878,14.7066,2614.0217
3529.1268,210.3774,70.0045,99.7001,242.1871,70.2498,5.2858,5.5441,1820.579,0.27195,12.9368,2608.7312
3529.2792,210.7406,84.8163,85.7265,246.7287,80.717,5.5043,5.9323,1820.579,0.294455,8.6317,2577.6426
3529.4316,210.7406,85.7197,75.7001,253.6089,87.6875,5.5298,6.1243,1820.579,0.302595,6.233,2559.45
3529.584,216.295,83.9499,60.5148,253.6089,85.3349,5.3236,6.1194,1820.579,0.286437,5.7002,2578.7454
3529.7364,217.9582,73.5276,58.4119,248.4695,75.8049,4.876,5.837,1820.579,0.254067,6.7935,2590.9089
3529.8888,209.4941,64.2634,54.8959,248.9008,66.3878,4.3029,5.2654,1820.579,0.229502,8.4719,2578.9531
3530.0412,209.5341,59.6755,47.0221,248.7383,59.9647,3.6853,4.5264,1820.579,0.230562,8.6794,2556.3289
3530.1936,210.2263,60.7684,32.001,249.4778,64.1173,3.1429,3.7435,1820.579,0.257042,7.122,2542.5999
3530.346,210.3438,69.4554,34.4307,255.4352,66.0433,2.763,3.0328,1820.579,0.286048,5.2908,2538.6487
3530.4984,209.9115,70.5815,43.4038,254.1209,60.7361,2.5,2.5425,1820.579,0.289335,4.7475,2542.3574
3530.6508,207.8483,54.1417,39.9723,253.4016,47.3495,2.2849,2.3202,1820.579,0.258374,4.7401,2557.2942
3530.8032,208.8879,34.1335,38.0831,254.6657,34.8774,2.0746,2.2411,1820.579,0.21093,4.8339,2577.4629
3530.9556,211.621,25.1651,58.7946,252.6791,28.6152,1.8879,2.1616,1820.579,0.171267,4.7056,2576.845
3531.108,215.4032,22.8239,79.4188,250.6153,26.4836,1.7623,2.0462,1820.579,0.151738,5.2227,2549.7207
3531.2604,218.9452,23.0139,90.6215,249.2952,26.4681,1.7279,1.9404,1820.579,0.150422,6.5912,2530.6616
3531.4128,221.4178,25.2369,101.8844,248.9946,29.2121,1.7833,1.9114,1820.579,0.160404,8.2685,2540.6492
3531.5652,224.0528,27.4623,109.8969,249.9625,35.0829,1.8894,1.9779,1820.579,0.176512,9.6028,2557.6028
3531.7176,226.2212,33.28,103.0317,252.8371,44.1422,1.9831,2.1484,1820.579,0.198085,10.3161,2554.2283
3531.87,224.2357,45.0888,90.4067,256.9169,56.892,2.0144,2.3731,1837.5863,0.227147,10.8537,2532.3669
3532.0224,219.4137,61.0974,86.3977,255.849,71.8472,1.9645,2.5076,1880.1052,0.264416,10.3756,2514.3618
3532.1748,218.8203,80.1469,68.9265,252.5758,85.5832,1.8298,2.4734,1906.072,0.307366,7.7869,2520.8943
3532.3272,218.6302,87.7874,43.594,254.6271,94.3125,1.6531,2.2144,1906.072,0.343923,5.3704,2558.1914
3532.4796,218.5199,87.7529,34.4792,259.9871,92.3138,1.4794,1.8403,1906.072,0.353316,3.9825,2593.1389
3532.632,218.9313,82.8331,31.6145,265.2207,81.3671,1.3264,1.5195,1906.072,0.319611,3.4152,2591.8406
3532.7844,220.1931,64.5388,22.6688,269.7567,63.078,1.1934,1.3123,1906.072,0.264386,3.1658,2570.6226
3532.9368,219.4214,39.1419,17.4694,272.8574,47.1379,1.0787,1.187,1906.072,0.218654,2.9384,2539.2974
3533.0892,216.5669,33.0772,14.171,275.2362,38.9501,0.9846,1.1168,1906.072,0.201193,2.7168,2484.5142
3533.2416,213.5188,33.7438,13.3401,274.6064,36.25,0.9242,1.083,1906.072,0.1993,2.4781,2430.2598
3533.394,209.9055,33.6813,15.2641,272.7198,40.7722,0.9025,1.0882,1906.072,0.195036,2.3279,2400.8875
3533.5464,209.3832,33.7479,19.6753,271.7318,43.6437,0.9059,1.1323,1906.072,0.186387,2.4123,2395.1465
3533.6988,210.2274,46.129,20.4781,267.8885,50.3303,0.9374,1.1827,1906.072,0.179518,2.9367,2406.4136
3533.8512,210.0105,50.0515,22.94,259.9511,54.8607,0.9896,1.2263,1906.072,0.180355,3.7323,2429.1526
3534.0036,210.1058,51.0005,20.7439,253.8005,55.3372,1.0398,1.2864,1906.072,0.184688,4.5603,2455.0669
3534.156,209.0921,49.4148,18.4761,250.6345,49.8076,1.0767,1.3556,1968.0018,0.182406,4.2774,2469.7458
3534.3084,208.7563,46.2341,15.946,247.4052,42.1981,1.0938,1.3848,1996.5498,0.174645,3.7296,2458.9395
3534.4608,209.6965,42.5673,22.1302,249.7223,37.8967,1.0926,1.3635,1999.99,0.170071,3.3006,2435.8486
3534.6132,208.8811,41.5997,29.935,258.4194,37.1167,1.0934,1.3287,1980.6667,0.175426,3.1118,2418.0291
3534.7656,207.6851,41.7855,28.3146,264.0406,36.8441,1.1193,1.3159,1931.5415,0.188204,3.1637,2411.4768
3534.918,208.1425,43.3957,25.4303,267.2893,37.431,1.175,1.343,1906.072,0.196825,3.3277,2407.3347
3535.0704,209.7833,45.4042,26.4059,270.2175,41.9271,1.2541,1.421,1906.072,0.199216,3.6645,2405.7671
3535.2228,210.7406,48.1239,25.6932,268.8226,51.6089,1.3609,1.5538,1906.072,0.208767,4.0301,2422.8965
3535.3752,210.8271,60.059,23.5308,260.3582,64.6846,1.5062,1.7427,1906.072,0.240915,4.1963,2466.126
3535.5276,210.8601,78.3438,21.5151,250.7327,78.4106,1.7024,2.0004,1906.072,0.294573,4.3728,2520.958
3535.68,210.7406,87.8367,16.9296,246.4356,89.7532,1.9741,2.3319,1906.072,0.348828,4.6059,2562.0852
3535.8324,210.8034,89.8851,13.4587,245.9954,97.305,2.3159,2.6962,1906.072,0.384706,4.6092,2574.6909
3535.9848,210.8838,91.7631,13.9394,251.0634,103.0207,2.6594,2.9889,1906.072,0.399519,4.5266,2567.5693
3536.1372,210.7881,93.8793,13.4796,258.1599,107.6585,2.9828,3.1109,1895.6089,0.402082,4.4425,2561.0449
3536.2896,210.9001,96.381,13.9805,261.7354,113.6211,3.3213,3.1475,1854.1328,0.405669,4.7311,2567.1675
3536.442,210.772,107.8415,12.9978,263.3304,123.1256,3.6761,3.3323,1820.579,0.419465,5.8733,2599.0637
3536.5944,211.2962,120.7955,14.45,258.4385,138.6545,3.9709,3.8384,1820.579,0.438255,8.6267,2658.4238
3536.7468,213.8902,140.5846,13.9264,251.0191,148.3055,4.2096,4.5705,1820.579,0.416869,14.6365,2728.7065
3536.8992,213.8347,132.8523,12.8913,234.8505,131.9088,4.4221,5.1203,1820.579,0.322576,18.8565,2763.4067
3537.0516,214.329,82.3856,7.3965,215.0624,92.3317,4.6627,5.5057,1820.579,0.195338,16.5468,2747.3713
3537.204,213.4695,34.425,8.1635,199.6678,51.4353,5.0583,6.3607,1820.579,0.100307,11.899,2705.6841
3537.3564,214.3125,13.77,11.9389,188.8336,27.8737,5.6123,6.4741,1820.579,0.065371,9.0839,2664.4951
3537.5088,213.8062,6.3299,12.8725,184.1016,19.7573,6.0292,6.6732,1820.579,0.066089,7.8292,2646.9109
3537.6612,211.1553,5.4805,11.9878,185.1144,17.982,6.1096,6.7782,1820.579,0.074198,7.7438,2644.6677
3537.8136,214.058,6.3855,13.775,189.8926,20.171,5.9317,6.8941,1820.579,0.077008,8.1219,2647.938
3537.966,216.5801,5.5288,15.6314,191.2605,20.172,5.6632,6.9897,1821.243,0.073351,8.5722,2651.0654
3538.1184,218.4797,4.9698,21.6089,188.7352,20.7033,5.37,7.1217,1834.1815,0.066858,9.4026,2656.4448
3538.2708,218.5517,5.7672,21.6404,186.6903,19.2613,5.178,7.1174,1896.2949,0.06387,10.1785,2665.9783
3538.4232,219.1928,5.3716,19.5653,184.5,19.4977,5.0936,6.96,1905.4099,0.067871,10.6466,2673.0791
3538.5756,220.2219,4.8331,14.4053,185.9887,20.8878,5.0377,6.7406,1901.1154,0.076881,10.4019,2675.4771
3538.728,221.2613,5.155,17.4559,191.3746,23.2773,5.0057,6.5364,1897.3357,0.08375,9.6542,2671.1763
3538.8804,219.9127,5.9863,9.6944,195.316,27.1853,5.0498,6.2007,1826.0051,0.085968,8.9414,2663.3105
3539.0328,222.1511,7.3659,4.8635,199.3444,31.8241,5.1327,6.0434,1825.1838,0.080249,8.4578,2649.1228
3539.1852,223.0048,8.9824,3.6686,200.6648,34.0834,5.2908,5.9846,1820.579,0.071122,8.6704,2637.7676
3539.3376,222.431,6.0171,5.7161,196.1059,34.2593,5.5538,6.2472,1820.579,0.06162,9.0841,2637.7727
3539.49,220.0547,5.9787,5.6419,191.6676,31.1039,5.9688,6.5136,1820.579,0.056192,9.5812,2647.2598
3539.6424,217.6914,6.2265,10.6494,188.7636,30.0371,6.4683,7.3329,1820.579,0.05588,9.079,2657.175
3539.7948,215.4247,12.3757,12.4716,186.2739,31.4969,7.0884,8.0721,1820.579,0.057907,8.3474,2668.9644
3539.9472,214.511,13.9633,15.5029,185.2972,33.2522,7.7161,8.7355,1820.579,0.061674,7.6553,2678.2625
3540.0996,214.511,14.7743,15.7878,184.4062,32.6204,8.3061,9.1142,1820.579,0.063123,7.0109,2682.9084
3540.252,214.4435,11.9336,11.9342,184.8005,28.9434,8.9018,9.4296,1820.579,0.06143,6.8075,2684.5337
3540.4044,213.435,10.0777,8.7358,185.984,24.9701,9.4927,9.5775,1820.579,0.056285,6.9937,2679.9275
3540.5568,212.1413,10.3585,7.5813,185.425,25.3841,10.0261,9.6934,1820.579,0.0513,7.4455,2666.4946
3540.7092,212.4086,11.9897,9.7546,186.3351,27.9498,10.7007,10.0483,1822.2659,0.047776,7.5256,2649.9404
3540.8616,213.9449,13.7604,7.5861,185.9752,30.8025,11.6541,10.86,1852.7076,0.045545,7.2855,2641.4592
3541.014,214.5016,17.7742,6.9325,185.0083,30.5968,12.8898,12.0841,1834.408,0.042489,7.2191,2643.895
3541.1664,214.3204,17.6743,5.128,184.3442,30.3932,14.4478,13.7805,1903.7117,0.03971,7.2254,2652.0073
3541.3188,214.4052,17.7771,4.4629,183.3115,31.6854,16.5192,15.991,1845.4744,0.03826,7.2246,2660.2183
3541.4712,211.6968,16.8734,1.7562,181.0428,34.1226,19.0327,18.7807,1820.579,0.040173,7.508,2667.1118
3541.6236,210.7406,21.6864,2.7453,179.4433,37.4026,21.6767,21.7797,1820.579,0.041985,8.0163,2674.6841
3541.776,210.7938,28.5449,6.787,178.7618,38.3555,24.2377,25.2693,1820.579,0.038007,8.3246,2684.7524
3541.9284,212.7104,25.7987,7.7619,177.1473,38.7646,26.7364,28.3114,1820.579,0.03102,8.4121,2698.7637
3542.0808,211.9386,24.1599,10.3974,176.1903,37.8834,28.5763,29.9496,1820.579,0.027026,8.536,2711.7458
3542.2332,214.0123,23.4883,13.5046,177.0413,40.3602,29.4489,30.4115,1820.579,0.027423,8.6539,2718.1069
3542.3856,214.4616,23.9853,21.8828,175.1933,41.3762,30.3282,30.2325,1820.579,0.02882,8.3632,2718.6609
3542.538,214.511,23.8701,22.3303,174.3333,41.3765,30.8356,29.9543,1820.579,0.029058,8.0938,2718.3359
3542.6904,215.8294,23.2459,18.6989,174.7157,39.3653,31.0554,29.5897,1820.579,0.027747,7.7181,2720.7429
3542.8428,217.4809,22.6139,14.2937,175.0678,36.7759,31.4904,29.1038,1820.579,0.02638,7.4425,2723.9109
3542.9952,218.5386,21.8344,9.4466,174.8688,35.1498,32.3553,28.8743,1820.579,0.026638,7.5605,2723.8291
3543.1476,219.445,21.1794,4.7742,175.4897,34.6514,33.3435,29.7404,1820.579,0.028612,8.0175,2718.8972
3543.3,218.1852,23.2988,1.5753,178.2355,36.8026,34.5935,32.16,1820.579,0.030525,8.6079,2709.7251
3543.4524,215.1377,23.7739,6.089,179.1247,35.7298,36.4546,35.5171,1820.579,0.030073,9.0667,2697.4558
3543.6048,216.1638,22.1687,8.319,178.551,35.1914,37.9557,39.0312,1820.579,0.02723,8.7405,2690.6609
3543.7572,215.3553,18.8758,13.4591,178.4777,29.9597,39.4095,42.2755,1820.579,0.025261,8.4706,2697.9788
3543.9096,215.513,17.6651,14.9473,177.1329,27.4516,40.4942,44.198,1820.579,0.024899,8.0764,2715.6174
3544.062,215.591,18.1512,16.0648,174.8638,27.2702,42.8657,45.1443,1820.579,0.025354,7.7794,2735.6628
3544.2144,215.5876,20.4562,15.1461,173.6962,29.736,45.3242,44.9072,1820.579,0.026524,7.4711,2750.0088
3544.3668,215.3953,23.2347,13.4416,173.6819,33.5944,47.5641,44.2916,1800.8167,0.029238,7.2384,2756.4685
3544.5192,214.5256,24.1251,13.7657,173.3803,35.9289,50.3657,45.0434,1753.2911,0.034647,7.3292,2757.9653
3544.6716,214.0415,24.6626,9.991,174.5087,36.7261,51.9326,47.3219,1742.427,0.041538,7.4814,2755.7537
3544.824,214.4738,26.3795,9.2764,176.8372,35.6681,53.2265,52.5119,1742.427,0.043335,7.8261,2752.1809
3544.9764,214.1452,25.6181,8.4168,176.6713,34.0256,52.2471,62.4425,1742.427,0.036635,8.1142,2743.5366
3545.1288,213.5272,21.2148,6.0825,175.9019,31.406,51.1764,59.6307,1742.427,0.026453,8.5247,2738.238
3545.2812,214.6847,18.4262,2.9095,175.5682,29.8553,51.623,49.9501,1742.427,0.020054,8.9916,2738.0261
3545.4336,214.511,19.4157,1.7787,171.0875,30.4347,53.2901,42.9323,1742.427,0.019635,8.9173,2734.2461
3545.586,214.4152,18.2883,-1.4502,169.7513,32.1766,52.2722,57.3253,1742.427,0.022396,8.6297,2727.1936
3545.7384,213.2225,30.6446,-3.1431,171.2396,35.6712,52.5342,50.4057,1742.427,0.025161,8.4346,2721.801
3545.8908,211.7497,30.686,-0.7534,171.0016,36.3098,49.9536,49.0584,1742.427,0.02703,8.8828,2721.6838
3546.0432,212.1401,29.1232,4.063,172.5952,34.8175,46.9798,44.1163,1742.427,0.03097,9.1135,2720.9077
3546.1956,212.725,30.1471,0.2357,173.8845,33.3438,46.4141,42.0605,1742.427,0.040383,8.9825,2718.9038
3546.348,212.1416,32.737,3.2321,175.1706,37.2024,46.5039,43.7024,1742.427,0.048016,8.8447,2720.7498
3546.5004,212.1297,34.6193,2.9134,178.3298,38.9225,44.2587,47.2432,1742.427,0.046658,8.6091,2726.1558
3546.6528,210.8297,30.4967,2.0748,177.5566,38.7075,45.7337,46.3252,1742.427,0.041101,8.3643,2732.0005
3546.8052,209.8367,28.6765,-1.4131,178.0912,38.7729,46.9157,44.9158,1742.427,0.039745,8.1658,2729.0659
3546.9576,210.6332,29.326,6.6159,177.5645,41.122,48.162,48.5066,1742.427,0.037792,8.3292,2722.7463
3547.11,212.4729,30.9879,11.8714,175.4886,39.9877,48.9934,51.8899,1742.427,0.030456,8.0431,2721.053
3547.2624,211.5463,21.9016,14.599,174.0832,34.8753,49.4713,49.831,1742.427,0.021554,7.4992,2726.6487
3547.4148,210.1846,19.0187,20.2138,174.7003,29.4026,47.4811,51.1809,1742.427,0.017278,7.1644,2730.9011
3547.5672,210.2663,21.0836,28.6597,173.8126,28.8178,44.7375,50.9447,1742.427,0.018482,7.1121,2729.4875
3547.7196,210.1881,21.7026,29.397,173.5564,29.5438,44.5078,43.463,1772.4175,0.021992,7.5943,2730.2549
3547.872,211.5132,21.2598,28.7405,173.8077,31.8729,42.3368,35.6468,1751.373,0.024885,8.0486,2733.3704
3548.0244,211.3421,20.8691,21.3993,173.8845,32.3457,39.3069,39.3212,1749.8719,0.025568,8.246,2734.4512
3548.1768,210.851,20.8978,17.586,174.3581,33.7023,37.5817,37.1383,1758.8608,0.024217,8.269,2727.1667
3548.3292,210.7406,17.0922,14.7254,174.7698,31.1398,36.7671,34.365,1754.6925,0.022035,8.4233,2713.4368
3548.4816,210.7406,14.9455,12.181,174.8688,29.1404,35.0551,35.2712,1794.7408,0.019952,9.0394,2703.2754
3548.634,210.7406,15.0492,10.3741,174.2202,28.0045,35.1063,34.2271,1818.7279,0.018761,9.5051,2700.866
3548.7864,212.6336,19.3063,10.5073,174.0932,31.205,36.0612,32.6828,1798.2972,0.019158,9.4983,2706.4316
3548.9388,214.3272,26.0124,6.9425,174.2126,35.4906,36.1228,33.5163,1780.9336,0.020067,9.3707,2718.4419
3549.0912,214.5919,26.6831,3.649,173.2413,36.2274,35.6894,39.3205,1803.2302,0.019659,9.1254,2730.613
3549.2436,214.511,22.9252,4.0456,172.0105,32.9636,36.6505,40.0923,1820.579,0.017478,8.6437,2735.0925
3549.396,213.5253,19.4384,6.613,171.0447,28.274,36.9397,38.7985,1820.579,0.015166,8.0065,2732.3704
3549.5484,213.1454,17.923,8.1174,170.2561,25.1862,36.2302,39.3579,1820.579,0.014259,7.385,2729.0227
3549.7008,212.5112,16.8237,10.4143,170.2807,23.8209,34.8673,38.2436,1820.579,0.014837,6.9425,2726.8884
3549.8532,211.1488,15.2057,13.9932,171.7193,23.2,31.9981,34.982,1820.579,0.016313,6.7152,2724.7993
3550.0056,210.7406,13.9423,15.107,173.2045,22.7197,29.0248,30.1596,1820.579,0.017748,6.6739,2722.3196
3550.158,210.7406,13.3638,13.8843,173.1215,23.1535,27.5398,25.5897,1820.579,0.01873,6.9369,2721.3879
3550.3104,210.7406,13.8036,15.0888,172.4346,25.1985,26.7222,23.4004,1820.579,0.019953,7.6407,2723.9778
3550.4628,210.7406,16.0084,20.1589,172.6385,27.7427,25.327,23.9686,1820.579,0.022185,8.7265,2728.1719
3550.6152,210.8912,18.9916,22.5102,172.8549,29.3076,23.7062,24.8178,1820.579,0.025202,9.638,2730.79
3550.7676,211.1375,17.8357,-999.25,172.4832,28.4091,21.7854,23.9774,1820.579,0.027608,9.6582,2729.4626
3550.92,211.4983,13.3356,-999.25,172.602,26.6733,19.8038,21.9218,1820.579,0.028203,9.1282,2725.3906
